ENCFF962GWS,GRCh38,ENCSR643JRH,K562,cell line,Homo sapiens,MAZ,2020/8/3,ENCODE,https://www.encodeproject.org/files/ENCFF962GWS/@@download/ENCFF962GWS.bed.gz
ENCFF521EHU,GRCh38,ENCSR617IFZ,HEK293,cell line,Homo sapiens,CTCF,2016/10/7,ENCODE,https://www.encodeproject.org/files/ENCFF521EHU/@@download/ENCFF521EHU.bed.gz
ENCFF750TQY,GRCh38,ENCSR502KPJ,HEK293,cell line,Homo sapiens,ZNF843,2016/12/19,ENCODE,https://www.encodeproject.org/files/ENCFF750TQY/@@download/ENCFF750TQY.bed.gz
ENCFF617LWF,GRCh38,ENCSR338DUC,HepG2,cell line,Homo sapiens,RAD21,2020/7/9,ENCODE,https://www.encodeproject.org/files/ENCFF617LWF/@@download/ENCFF617LWF.bed.gz
ENCFF320EKJ,GRCh38,ENCSR563SHQ,HepG2,cell line,Homo sapiens,ZFP36L2,2020/7/9,ENCODE,https://www.encodeproject.org/files/ENCFF320EKJ/@@download/ENCFF320EKJ.bed.gz
ENCFF141YOK,GRCh38,ENCSR950ACO,HEK293,cell line,Homo sapiens,ZNF785,2016/12/19,ENCODE,https://www.encodeproject.org/files/ENCFF141YOK/@@download/ENCFF141YOK.bed.gz
ENCFF978KCF,GRCh38,ENCSR330ELC,A549,cell line,Homo sapiens,SMC3,2018/3/15,GGR,https://www.encodeproject.org/files/ENCFF978KCF/@@download/ENCFF978KCF.bed.gz
ENCFF406TZR,GRCh38,ENCSR231ZVN,K562,cell line,Homo sapiens,FOXA3,2020/8/3,ENCODE,https://www.encodeproject.org/files/ENCFF406TZR/@@download/ENCFF406TZR.bed.gz
ENCFF170VVR,GRCh38,ENCSR072LQF,HEK293,cell line,Homo sapiens,ZNF76,2016/10/7,ENCODE,https://www.encodeproject.org/files/ENCFF170VVR/@@download/ENCFF170VVR.bed.gz
ENCFF289ZIR,GRCh38,ENCSR578KEN,K562,cell line,Homo sapiens,USF2,2020/6/30,ENCODE,https://www.encodeproject.org/files/ENCFF289ZIR/@@download/ENCFF289ZIR.bed.gz
ENCFF962IDD,GRCh38,ENCSR700USV,HepG2,cell line,Homo sapiens,LRRFIP1,2020/7/9,ENCODE,https://www.encodeproject.org/files/ENCFF962IDD/@@download/ENCFF962IDD.bed.gz
ENCFF409GGL,GRCh38,ENCSR715QNO,HEK293,cell line,Homo sapiens,ZNF362,2016/10/25,ENCODE,https://www.encodeproject.org/files/ENCFF409GGL/@@download/ENCFF409GGL.bed.gz
